Date,Temperature_C,Humidity_%,Wind_Speed_kmph,Pressure_hPa,Wind_Direction_deg
1973-02-15,29.9,43.1,19.7,1012.6,148.3
1973-02-16,26.1,47.7,5.9,1013.7,209.4
1973-02-17,16.0,54.9,9.2,1013.7,307.7
1973-02-18,24.9,51.2,9.6,1007.4,122.9
1973-02-19,21.1,54.0,2.4,1007.9,347.4
1973-02-20,22.1,50.4,3.7,1006.6,288.7
1973-02-21,29.1,51.0,10.8,1005.4,253.9
1973-02-22,26.6,44.6,6.3,1005.3,216.8
1973-02-23,28.5,52.6,12.1,1011.5,329.5
1973-02-24,27.9,56.2,3.0,1008.9,95.7
1973-02-25,27.4,47.8,9.8,1012.2,358.4
1973-02-26,17.9,57.8,17.0,1007.0,243.7
1973-02-27,29.2,54.6,14.3,1010.5,284.1
1973-02-28,20.1,52.5,8.9,1012.9,254.0
1973-03-01,41.9,32.8,5.3,1011.2,230.6
1973-03-02,30.2,38.0,17.0,1014.8,230.4
1973-03-03,36.9,46.5,4.7,1009.1,213.0
1973-03-04,38.7,38.9,17.0,1005.8,215.5
1973-03-05,30.9,39.1,17.7,1006.4,131.7
1973-03-06,42.2,39.8,4.3,1010.1,9.4
1973-03-07,37.1,49.9,4.8,1013.3,301.2
1973-03-08,32.6,35.0,11.5,1006.8,71.2
1973-03-09,37.6,36.8,12.4,1012.9,147.4
1973-03-10,32.9,40.3,16.5,1007.2,99.8
1973-03-11,38.3,49.6,13.6,1013.9,310.9
1973-03-12,36.2,33.5,13.2,1010.6,144.5
1973-03-13,40.1,45.7,18.1,1010.9,329.1
1973-03-14,37.3,49.6,12.5,1013.9,225.0
1973-03-15,35.4,49.2,14.1,1007.0,247.1
1973-03-16,33.3,36.2,10.3,1011.4,256.3
1973-03-17,34.9,34.0,13.7,1014.4,35.8
1973-03-18,39.8,40.0,2.0,1014.0,14.5
1973-03-19,32.5,30.4,11.7,1009.7,230.8
1973-03-20,35.9,32.8,11.1,1007.7,51.3
1973-03-21,34.7,30.2,10.6,1009.5,110.1
1973-03-22,31.0,36.3,4.9,1008.4,308.4
1973-03-23,42.2,41.4,9.2,1006.8,108.6
1973-03-24,40.0,39.1,9.2,1009.0,344.5
1973-03-25,36.9,40.6,12.5,1008.1,269.0
1973-03-26,40.0,39.7,6.6,1013.1,95.2
1973-03-27,41.3,37.9,11.4,1006.9,189.2
1973-03-28,36.5,45.2,7.2,1009.8,82.6
1973-03-29,36.8,41.5,6.9,1010.7,284.2
1973-03-30,32.8,47.6,5.2,1005.1,156.6
1973-03-31,44.7,40.7,15.9,1005.8,238.4
1973-04-01,32.2,45.2,2.7,1009.9,232.1
1973-04-02,33.8,32.3,16.2,1008.4,262.6
1973-04-03,44.4,31.3,6.1,1005.9,74.5
1973-04-04,34.7,35.3,16.4,1006.6,34.4
1973-04-05,30.3,37.2,15.9,1009.4,321.1
1973-04-06,41.1,41.3,13.7,1008.3,156.4
1973-04-07,34.0,37.0,12.8,1013.0,217.6
1973-04-08,36.0,41.0,4.0,1008.7,86.9
1973-04-09,32.1,41.3,5.6,1011.6,5.6
1973-04-10,41.5,43.3,3.2,1010.9,235.9
1973-04-11,31.5,36.1,3.3,1005.3,311.2
1973-04-12,44.7,40.0,3.4,1012.3,215.9
1973-04-13,39.7,36.6,15.7,1014.4,123.4
1973-04-14,35.4,45.0,2.1,1012.1,4.0
1973-04-15,42.6,46.0,6.1,1014.6,191.0
1973-04-16,37.8,37.2,18.8,1006.6,169.7
1973-04-17,44.0,45.7,13.4,1013.3,266.7
1973-04-18,34.3,43.7,14.7,1005.7,57.6
1973-04-19,40.5,33.6,7.9,1006.5,285.3
1973-04-20,42.8,31.6,2.5,1014.8,157.5
1973-04-21,39.4,48.0,16.8,1006.4,233.9
1973-04-22,41.7,36.1,13.7,1010.4,104.6
1973-04-23,42.0,35.7,3.9,1012.3,288.5
1973-04-24,30.3,34.2,6.0,1008.5,235.2
1973-04-25,35.0,31.1,10.1,1010.9,354.8
1973-04-26,34.6,44.1,19.7,1010.8,266.5
1973-04-27,37.3,40.8,14.3,1006.1,280.7
1973-04-28,30.3,45.7,17.6,1009.1,340.3
1973-04-29,40.3,38.3,15.1,1009.0,250.4
1973-04-30,31.7,37.9,13.1,1013.3,295.8
1973-05-01,37.6,44.5,19.6,1006.2,267.9
1973-05-02,38.8,32.7,17.2,1005.5,26.4
1973-05-03,37.6,44.6,19.2,1013.4,263.5
1973-05-04,41.0,34.4,8.2,1007.0,314.2
1973-05-05,40.5,33.9,5.0,1009.2,60.4
1973-05-06,35.8,34.8,5.5,1014.2,101.3
1973-05-07,35.8,37.1,7.4,1009.2,235.7
1973-05-08,37.9,37.7,19.2,1012.4,3.7
1973-05-09,33.1,34.2,5.4,1012.5,244.4
1973-05-10,33.7,38.0,4.0,1012.8,130.8
1973-05-11,34.4,36.6,14.2,1006.6,245.8
1973-05-12,40.6,47.1,19.4,1009.6,103.9
1973-05-13,31.1,35.8,14.2,1006.7,75.8
1973-05-14,40.0,40.0,15.4,1010.7,284.8
1973-05-15,41.9,35.6,3.3,1008.3,173.9
1973-05-16,31.7,30.3,13.4,1012.2,306.2
1973-05-17,35.0,40.0,2.2,1012.1,333.7
1973-05-18,32.0,30.9,9.0,1005.0,18.7
1973-05-19,44.6,47.3,18.5,1014.6,26.8
1973-05-20,30.6,38.4,16.1,1007.9,93.8
1973-05-21,30.0,32.3,11.5,1005.3,346.1
1973-05-22,30.7,44.9,8.7,1012.7,335.0
1973-05-23,43.3,34.0,5.9,1008.1,237.4
1973-05-24,32.3,36.1,11.2,1005.1,165.1
1973-05-25,31.5,34.7,10.9,1007.8,107.6
1973-05-26,44.1,47.0,12.9,1007.1,49.5
1973-05-27,34.4,44.7,13.6,1010.2,99.9
1973-05-28,43.9,36.0,8.9,1010.0,215.9
1973-05-29,37.3,33.0,19.0,1011.3,118.0
1973-05-30,34.2,41.0,6.6,1010.4,128.8
1973-05-31,37.1,45.6,4.2,1012.5,163.3
1973-06-01,35.1,40.2,18.2,1007.9,47.0
1973-06-02,31.0,50.0,2.6,1007.0,120.5
1973-06-03,44.4,37.6,12.9,1014.4,311.6
1973-06-04,36.5,39.9,19.0,1009.3,151.4
1973-06-05,39.8,38.7,4.0,1010.4,110.1
1973-06-06,31.0,30.8,13.8,1013.3,344.8
1973-06-07,35.7,32.6,4.4,1007.2,7.3
1973-06-08,43.1,41.6,14.1,1008.9,111.4
1973-06-09,43.1,31.6,5.3,1014.3,83.6
1973-06-10,35.4,37.3,14.3,1005.2,184.5
1973-06-11,36.0,41.5,4.6,1011.1,230.9
1973-06-12,41.9,48.6,14.8,1012.7,333.9
1973-06-13,30.5,33.5,13.3,1007.9,286.3
1973-06-14,42.9,39.4,4.1,1014.6,294.8
1973-06-15,39.4,35.2,5.5,1013.3,152.2
1973-06-16,36.7,40.6,7.5,1009.5,195.6
1973-06-17,38.4,38.3,12.8,1009.1,220.2
1973-06-18,44.2,35.2,2.3,1014.0,45.8
1973-06-19,32.0,49.1,12.7,1012.4,159.7
1973-06-20,33.6,49.2,16.4,1014.4,347.5
1973-06-21,37.3,43.4,13.6,1014.8,241.1
1973-06-22,41.2,41.5,9.5,1011.3,23.7
1973-06-23,41.4,43.4,16.0,1014.9,190.8
1973-06-24,37.9,31.8,8.4,1007.7,334.5
1973-06-25,31.3,35.8,14.8,1010.8,66.5
1973-06-26,35.7,40.8,11.9,1011.6,155.7
1973-06-27,31.8,49.4,6.0,1013.3,87.4
1973-06-28,31.0,41.4,10.5,1013.9,226.0
1973-06-29,44.6,43.9,13.8,1010.2,51.1
1973-06-30,38.8,32.1,16.5,1014.1,37.6
1973-07-01,28.4,76.1,16.2,1008.2,359.1
1973-07-02,28.6,66.4,15.6,1014.0,274.8
1973-07-03,35.0,78.3,9.7,1013.6,183.9
1973-07-04,27.2,61.5,15.9,1012.6,294.5
1973-07-05,27.2,79.7,6.0,1008.1,89.4
1973-07-06,29.1,67.9,16.4,1006.2,331.0
1973-07-07,30.9,71.7,2.9,1006.0,36.7
1973-07-08,34.2,69.5,13.8,1006.6,186.7
1973-07-09,26.7,73.6,2.6,1005.9,52.7
1973-07-10,31.0,70.5,15.9,1006.8,75.5
1973-07-11,33.7,70.9,9.5,1012.7,23.7
1973-07-12,26.5,63.9,12.7,1010.2,144.5
1973-07-13,32.8,60.9,14.1,1014.4,227.1
1973-07-14,30.3,62.1,2.4,1008.8,186.6
1973-07-15,31.9,62.1,4.1,1006.5,195.9
1973-07-16,27.2,67.6,13.6,1005.6,80.1
1973-07-17,30.7,74.0,3.6,1010.4,63.3
1973-07-18,28.1,69.0,19.1,1006.1,151.3
1973-07-19,33.9,74.6,7.8,1014.2,112.2
1973-07-20,26.4,79.5,2.0,1014.9,186.1
1973-07-21,33.1,64.8,9.9,1005.2,269.4
1973-07-22,25.9,66.4,17.1,1013.2,29.0
1973-07-23,25.9,79.3,4.9,1013.1,311.3
1973-07-24,34.8,78.9,11.0,1012.2,190.5
1973-07-25,28.9,77.3,14.8,1009.7,246.0
1973-07-26,33.7,65.5,13.0,1009.1,349.8
1973-07-27,25.9,75.4,14.7,1013.4,215.5
1973-07-28,32.6,70.7,19.4,1010.8,40.2
1973-07-29,33.1,71.9,18.1,1006.9,163.9
1973-07-30,30.0,65.5,8.0,1010.4,145.5
1973-07-31,31.3,65.8,16.7,1014.6,180.9
1973-08-01,30.2,65.8,2.8,1012.0,87.0
1973-08-02,31.1,67.1,3.7,1008.5,230.6
1973-08-03,27.4,75.2,14.2,1009.9,276.7
1973-08-04,26.9,60.3,19.9,1008.3,131.1
1973-08-05,33.4,68.3,17.1,1013.2,68.0
1973-08-06,28.0,61.7,3.1,1012.7,201.3
1973-08-07,34.4,69.2,15.3,1007.7,5.4
1973-08-08,28.1,72.6,16.3,1010.6,112.9
1973-08-09,25.6,76.7,17.9,1010.0,356.7
1973-08-10,31.0,66.3,16.4,1006.8,148.9
1973-08-11,30.4,78.6,4.4,1014.9,124.4
1973-08-12,31.0,61.5,15.7,1009.0,7.7
1973-08-13,26.2,78.2,11.1,1006.7,260.0
1973-08-14,26.0,73.2,12.1,1005.0,184.5
1973-08-15,33.8,61.3,3.2,1013.3,99.2
1973-08-16,31.4,74.8,15.4,1007.2,229.1
1973-08-17,28.3,66.0,11.2,1010.8,79.3
1973-08-18,31.7,78.7,17.8,1012.5,95.6
1973-08-19,28.8,79.4,5.3,1010.3,139.3
1973-08-20,33.0,77.9,15.1,1010.7,84.1
1973-08-21,30.8,72.4,8.0,1005.3,180.5
1973-08-22,34.8,75.4,19.7,1011.2,80.7
1973-08-23,28.0,79.1,7.0,1008.2,255.7
1973-08-24,34.6,79.4,5.8,1008.3,78.2
1973-08-25,26.9,67.9,9.8,1006.7,225.2
1973-08-26,33.3,70.8,16.6,1006.0,209.0
1973-08-27,27.6,73.3,5.9,1011.8,91.9
1973-08-28,30.4,65.8,8.5,1011.4,175.5
1973-08-29,27.9,69.3,9.7,1005.4,293.4
1973-08-30,29.1,74.8,19.7,1008.6,168.4
1973-08-31,30.1,72.6,11.7,1006.3,237.1
1973-09-01,25.3,66.0,5.5,1005.8,315.6
1973-09-02,33.8,79.5,3.3,1009.0,128.0
1973-09-03,28.5,63.0,6.0,1014.7,244.3
1973-09-04,26.4,64.5,3.9,1007.2,29.1
1973-09-05,26.4,75.3,2.2,1007.8,134.6
1973-09-06,31.3,71.8,19.8,1007.9,318.7
1973-09-07,35.0,63.9,14.6,1008.2,39.9
1973-09-08,30.5,64.1,18.3,1005.3,295.7
1973-09-09,33.4,61.0,16.4,1013.5,185.6
1973-09-10,28.7,64.2,14.4,1011.7,158.5
1973-09-11,26.2,76.5,5.6,1007.5,249.8
1973-09-12,34.9,74.1,6.2,1013.5,272.1
1973-09-13,34.7,60.2,5.5,1012.5,251.8
1973-09-14,29.2,78.6,9.8,1006.0,67.8
1973-09-15,25.6,63.0,7.9,1013.0,119.0
1973-09-16,34.7,76.2,19.6,1006.5,316.6
1973-09-17,25.8,71.8,6.3,1012.2,223.7
1973-09-18,33.9,69.4,5.4,1009.1,0.5
1973-09-19,25.0,67.5,9.8,1011.0,286.9
1973-09-20,29.3,66.0,4.8,1011.9,116.5
1973-09-21,26.8,61.8,2.9,1009.0,212.8
1973-09-22,26.8,76.6,16.4,1006.3,27.7
1973-09-23,28.5,72.9,11.1,1007.0,69.1
1973-09-24,27.6,71.5,7.9,1009.5,170.9
1973-09-25,30.5,76.7,19.1,1009.0,75.9
1973-09-26,29.3,70.8,8.5,1005.6,356.4
1973-09-27,33.5,75.7,7.8,1010.7,343.8
1973-09-28,33.4,79.6,3.4,1011.6,175.6
1973-09-29,29.4,79.1,8.4,1005.3,172.8
1973-09-30,30.0,68.2,7.9,1005.9,274.5
1973-10-01,28.0,55.2,2.9,1014.5,103.6
1973-10-02,16.2,50.7,8.9,1014.7,343.4
1973-10-03,22.4,50.8,15.3,1012.3,258.4
1973-10-04,27.6,51.9,12.3,1012.0,351.5
1973-10-05,20.9,59.3,11.7,1007.1,291.7
1973-10-06,17.0,47.4,13.2,1010.6,308.5
1973-10-07,21.7,58.7,12.7,1009.8,237.6
1973-10-08,17.7,55.7,4.9,1009.8,71.6
1973-10-09,27.1,40.7,14.8,1007.8,352.3
1973-10-10,27.4,46.0,3.5,1006.5,24.1
1973-10-11,20.1,42.7,13.4,1008.2,140.6
1973-10-12,22.0,41.5,10.5,1011.1,277.1
1973-10-13,16.1,44.3,17.4,1013.0,29.1
1973-10-14,21.9,45.3,9.4,1007.5,46.5
1973-10-15,18.1,59.5,10.2,1008.2,146.2
1973-10-16,19.2,52.1,10.5,1012.9,276.8
1973-10-17,15.2,56.9,9.5,1014.4,3.5
1973-10-18,15.5,53.8,19.9,1005.2,282.5
1973-10-19,22.5,59.7,11.6,1013.8,159.8
1973-10-20,21.9,50.7,3.3,1010.3,337.4
1973-10-21,20.3,41.7,5.7,1007.1,280.6
1973-10-22,29.6,59.9,13.3,1014.5,300.3
1973-10-23,25.1,55.7,16.2,1007.7,130.6
1973-10-24,23.6,49.9,18.6,1007.6,195.0
1973-10-25,18.2,53.1,6.9,1008.5,316.0
1973-10-26,25.6,58.5,2.8,1008.7,186.9
1973-10-27,18.1,44.1,19.8,1006.2,29.3
1973-10-28,29.7,55.4,13.4,1011.0,322.4
1973-10-29,23.8,47.0,18.9,1013.2,315.2
1973-10-30,17.2,46.6,17.3,1010.4,341.0
1973-10-31,29.0,58.8,14.8,1014.3,6.0
1973-11-01,29.5,51.4,5.1,1008.7,248.1
1973-11-02,26.2,44.3,15.6,1011.1,30.4
1973-11-03,21.6,52.6,7.2,1013.5,293.2
1973-11-04,24.6,53.9,10.2,1008.3,335.3
1973-11-05,22.8,49.2,15.0,1007.2,22.0
1973-11-06,20.2,58.0,10.2,1009.8,213.5
1973-11-07,18.8,47.8,5.6,1005.7,288.1
1973-11-08,20.3,46.7,7.0,1014.5,286.1
1973-11-09,18.0,54.2,7.2,1011.1,177.1
1973-11-10,26.5,43.2,6.9,1014.2,97.4
1973-11-11,26.3,56.3,3.6,1006.6,111.7
1973-11-12,15.2,51.2,19.0,1012.0,130.8
1973-11-13,18.3,46.7,19.1,1005.2,263.4
1973-11-14,21.1,43.2,14.7,1007.0,158.2
1973-11-15,29.8,49.9,5.5,1009.7,66.7
1973-11-16,26.6,59.8,13.9,1006.2,259.7
1973-11-17,18.9,47.4,12.1,1006.1,248.0
1973-11-18,27.1,44.7,17.8,1006.4,169.9
1973-11-19,29.9,40.9,3.2,1009.2,22.0
1973-11-20,27.1,54.3,16.8,1009.3,349.9
1973-11-21,21.5,41.5,12.9,1011.6,66.0
1973-11-22,16.5,44.0,18.4,1011.5,123.2
1973-11-23,28.0,54.3,10.0,1014.5,62.9
1973-11-24,25.1,56.1,7.8,1008.1,325.7
1973-11-25,20.0,54.5,15.9,1011.3,338.4
1973-11-26,27.7,48.8,9.4,1013.2,32.6
1973-11-27,23.6,41.0,10.1,1014.4,345.5
1973-11-28,25.3,48.2,2.8,1005.3,85.7
1973-11-29,19.5,59.5,8.3,1014.6,149.8
1973-11-30,22.4,58.1,15.4,1013.7,358.3
1973-12-01,25.3,46.4,4.7,1007.1,153.5
1973-12-02,16.8,51.5,19.4,1009.2,296.9
1973-12-03,24.6,59.9,14.8,1012.3,330.3
1973-12-04,20.0,40.4,11.5,1006.9,168.7
1973-12-05,15.1,41.8,4.9,1011.7,55.6
1973-12-06,22.7,57.6,15.1,1006.2,83.4
1973-12-07,19.6,47.9,14.3,1013.7,264.6
1973-12-08,20.6,52.3,15.2,1007.1,96.5
1973-12-09,19.9,42.3,16.3,1014.3,141.4
1973-12-10,25.3,53.2,4.7,1012.2,44.7
1973-12-11,29.0,43.1,5.2,1008.5,26.6
1973-12-12,28.0,43.9,2.3,1010.1,156.3
1973-12-13,29.2,51.9,2.9,1008.4,329.6
1973-12-14,25.8,57.6,7.2,1014.2,18.3
1973-12-15,17.0,56.5,2.3,1011.5,78.0
1973-12-16,29.3,54.4,4.7,1013.0,44.7
1973-12-17,29.7,59.0,19.7,1005.6,65.1
1973-12-18,21.4,47.4,9.4,1005.6,72.8
1973-12-19,15.9,59.1,10.2,1014.3,352.1
1973-12-20,16.2,54.2,5.6,1011.9,287.5
1973-12-21,20.7,40.5,12.5,1013.6,354.5
1973-12-22,16.7,50.7,8.7,1007.1,262.7
1973-12-23,27.7,51.9,13.6,1006.6,325.0
1973-12-24,25.5,42.5,8.9,1005.2,83.0
1973-12-25,27.6,50.9,4.1,1009.1,295.7
1973-12-26,17.4,56.0,12.0,1008.8,45.1
1973-12-27,20.4,45.2,14.3,1009.3,101.1
1973-12-28,24.8,45.2,11.3,1006.0,129.2
1973-12-29,29.5,45.7,2.6,1012.5,315.5
1973-12-30,16.0,43.8,4.3,1010.8,114.7
1973-12-31,16.3,48.9,19.3,1007.3,109.2
1974-01-01,24.1,51.3,2.6,1007.3,149.9
1974-01-02,18.6,43.2,2.3,1006.3,53.5
1974-01-03,17.5,45.9,6.8,1009.8,24.5
1974-01-04,28.6,52.5,19.1,1008.7,251.8
1974-01-05,15.9,49.7,15.7,1007.8,164.7
1974-01-06,26.4,41.7,8.2,1007.0,170.4
1974-01-07,15.6,41.9,8.4,1010.9,215.6
1974-01-08,21.9,55.4,6.5,1005.8,120.8
1974-01-09,23.9,50.8,4.9,1011.5,22.0
1974-01-10,19.1,58.1,5.1,1006.1,130.2
1974-01-11,28.1,59.2,19.7,1014.6,115.6
1974-01-12,21.5,44.6,2.7,1014.0,105.0
1974-01-13,28.7,51.0,9.8,1011.6,356.4
1974-01-14,28.4,56.4,19.2,1007.4,325.3
1974-01-15,27.3,48.8,2.4,1011.3,183.1
1974-01-16,28.2,55.2,8.2,1010.3,119.5
1974-01-17,24.1,47.0,16.5,1006.4,32.2
1974-01-18,25.1,51.1,6.9,1011.7,43.8
1974-01-19,25.7,40.2,16.0,1005.8,171.5
1974-01-20,15.6,44.2,6.9,1012.4,342.4
1974-01-21,22.9,44.6,5.0,1011.5,197.9
1974-01-22,17.8,47.9,13.0,1007.9,330.2
1974-01-23,18.2,45.7,14.4,1006.8,119.0
1974-01-24,22.0,44.6,18.6,1005.1,355.0
1974-01-25,24.8,45.5,16.3,1013.5,59.2
1974-01-26,28.4,50.4,17.2,1011.8,157.3
1974-01-27,20.1,49.8,16.4,1008.2,338.2
1974-01-28,29.4,52.9,18.1,1005.9,6.9
1974-01-29,24.7,54.8,17.1,1013.2,61.7
1974-01-30,30.0,40.3,3.6,1008.7,297.0
1974-01-31,23.5,57.0,11.4,1009.8,258.3
1974-02-01,27.1,41.2,9.9,1013.5,193.5
1974-02-02,20.1,54.3,2.3,1006.5,319.7
1974-02-03,16.3,40.4,4.2,1007.0,20.8
1974-02-04,18.5,59.8,8.7,1008.1,20.0
1974-02-05,28.9,54.2,16.9,1010.3,165.9
1974-02-06,19.6,56.2,5.7,1014.8,335.4
1974-02-07,24.7,51.5,13.1,1005.9,146.2
1974-02-08,15.8,43.4,19.0,1006.1,117.2
1974-02-09,27.4,50.2,17.9,1009.9,252.2
1974-02-10,27.2,53.5,2.6,1006.5,189.7
1974-02-11,28.6,49.3,10.7,1013.3,214.2
1974-02-12,23.7,53.3,9.9,1014.1,263.9
1974-02-13,15.8,49.3,11.0,1013.5,288.8
1974-02-14,20.8,59.6,12.6,1005.1,345.8
1974-02-15,17.1,54.1,10.0,1013.4,200.8
1974-02-16,19.3,43.0,2.7,1008.7,347.2
1974-02-17,18.7,42.2,17.1,1013.5,17.7
1974-02-18,27.2,51.9,15.9,1008.3,241.3
1974-02-19,28.3,53.5,19.9,1012.9,56.6
1974-02-20,21.0,54.2,9.5,1005.8,206.9
1974-02-21,29.5,51.0,10.0,1010.0,317.5
1974-02-22,22.9,49.8,11.3,1012.7,287.7
1974-02-23,28.2,44.3,18.2,1008.3,263.5
1974-02-24,17.5,48.1,8.6,1008.4,82.0
1974-02-25,28.5,57.4,3.1,1013.6,58.1
1974-02-26,24.6,57.6,8.8,1005.1,114.1
1974-02-27,16.7,42.9,3.4,1006.2,109.0
1974-02-28,18.2,52.1,9.4,1005.3,338.5
1974-03-01,35.7,31.7,17.4,1008.9,13.7
1974-03-02,30.2,41.3,8.8,1006.5,74.0
1974-03-03,34.2,45.8,15.3,1006.3,92.7
1974-03-04,35.6,49.1,10.7,1005.5,66.4
1974-03-05,35.7,35.3,7.2,1010.0,279.4
1974-03-06,44.2,32.5,11.6,1014.9,198.3
1974-03-07,35.6,35.5,17.2,1012.9,341.6
1974-03-08,43.0,47.3,6.5,1010.8,251.9
1974-03-09,31.1,40.6,18.5,1011.8,95.7
1974-03-10,37.4,41.5,8.9,1005.7,248.5
1974-03-11,44.1,43.5,14.7,1009.6,155.4
1974-03-12,34.7,49.8,10.7,1008.4,196.9
1974-03-13,36.7,47.1,12.0,1013.2,65.1
1974-03-14,38.1,42.4,16.3,1010.7,69.4
1974-03-15,32.9,33.2,4.7,1006.0,46.5
1974-03-16,31.4,43.4,3.3,1008.0,324.7
1974-03-17,41.8,37.5,3.8,1012.7,13.1
1974-03-18,38.4,30.8,4.3,1006.1,332.4
1974-03-19,30.3,42.5,16.6,1009.2,228.1
1974-03-20,40.4,46.5,15.6,1014.4,261.5
1974-03-21,43.7,38.9,7.6,1006.6,278.9
1974-03-22,37.7,40.4,14.1,1006.4,310.1
1974-03-23,32.8,39.2,19.6,1013.9,239.2
1974-03-24,37.0,43.7,7.2,1008.4,349.1
1974-03-25,36.6,46.2,4.3,1011.4,217.9
1974-03-26,32.6,48.8,16.4,1010.4,321.9
1974-03-27,39.8,42.9,14.5,1013.8,158.9
1974-03-28,40.5,35.4,18.2,1010.1,122.4
1974-03-29,38.0,33.6,11.1,1009.8,47.5
1974-03-30,44.6,30.8,13.6,1013.2,32.8
1974-03-31,34.8,40.0,11.0,1007.6,146.5
1974-04-01,40.8,37.0,4.5,1008.9,253.9
1974-04-02,40.2,41.0,12.2,1009.6,211.0
1974-04-03,43.1,48.0,4.6,1009.7,317.7
1974-04-04,40.1,48.7,6.8,1014.8,308.4
1974-04-05,37.6,37.9,10.6,1009.2,22.6
1974-04-06,41.4,41.8,7.8,1010.5,198.5
1974-04-07,38.7,41.7,13.3,1012.0,206.7
1974-04-08,34.5,33.3,15.3,1011.7,186.2
1974-04-09,32.8,44.8,5.9,1012.9,222.0
1974-04-10,31.4,35.8,10.1,1013.8,33.9
1974-04-11,43.8,32.9,18.6,1011.6,126.5
1974-04-12,31.7,38.6,7.7,1008.7,279.6
1974-04-13,34.7,48.2,4.8,1013.9,307.6
1974-04-14,42.3,41.4,9.8,1007.8,173.6
1974-04-15,42.0,32.9,11.9,1007.0,257.1
1974-04-16,35.2,46.7,11.7,1012.6,43.7
1974-04-17,37.5,31.3,3.1,1006.2,221.4
1974-04-18,41.3,34.3,13.5,1007.8,54.3
1974-04-19,39.7,42.7,15.9,1005.1,342.8
1974-04-20,43.9,45.6,5.9,1014.5,162.3
1974-04-21,37.2,35.7,17.1,1014.0,358.6
1974-04-22,36.4,31.0,14.4,1013.4,101.9
1974-04-23,32.0,30.3,11.8,1011.3,94.9
1974-04-24,44.3,38.3,7.6,1010.0,149.9
1974-04-25,36.2,32.8,11.6,1011.3,359.7
1974-04-26,36.0,35.8,11.5,1012.3,295.5
1974-04-27,39.8,36.3,7.5,1011.8,308.5
1974-04-28,41.7,32.8,7.0,1007.7,253.9
1974-04-29,30.7,42.3,19.4,1007.9,136.3
1974-04-30,41.4,35.5,3.8,1013.8,77.5
1974-05-01,30.5,49.8,8.4,1010.4,163.0
1974-05-02,32.0,31.7,2.6,1009.2,198.9
1974-05-03,37.4,45.5,3.6,1007.5,93.1
1974-05-04,34.0,43.1,16.4,1006.9,70.0
1974-05-05,31.5,41.0,9.1,1010.2,77.7
1974-05-06,43.0,33.3,5.8,1013.3,72.8
1974-05-07,32.7,33.7,18.5,1011.0,134.7
1974-05-08,40.2,39.1,5.5,1014.7,48.4
1974-05-09,33.0,36.3,5.9,1009.7,52.9
1974-05-10,37.4,32.3,18.8,1014.1,283.7
1974-05-11,35.7,46.1,7.4,1011.8,250.1
